3	4
6	1
9	2
12	2
13	4
15	3
21	1
32802	1
36	3
37	1
39	4
43	2
44	1
32818	1
54	3
32825	2
32832	5
65	3
67	3
74	4
77	4
32846	2
32848	2
32849	3
32850	3
32851	3
32852	2
85	3
32854	4
32857	1
90	4
33607	3
93	3
32863	2
96	2
100	3
101	3
32870	3
104	3
105	3
110	4
114	3
115	4
117	1
32886	5
32887	5
32889	2
32890	2
123	4
124	1
32893	4
32894	1
32895	3
32896	1
32897	4
32898	2
32900	4
133	3
32902	1
32903	1
136	1
32905	4
32906	3
32907	1
32908	3
32909	2
32910	1
32911	4
144	3
145	2
32914	3
147	3
148	3
32917	4
151	2
32920	3
153	2
32922	2
32923	2
32924	2
32925	2
158	2
32927	3
32928	3
32929	2
163	1
164	2
32933	2
32934	1
167	2
32936	2
32937	1
32938	2
32939	5
32940	2
32941	3
32945	4
178	5
32947	2
32948	1
32949	2
32950	1
32951	1
32952	5
186	3
32955	2
32956	2
32957	2
32958	1
32960	1
32961	2
32962	1
32963	4
32964	1
32965	6
32966	2
32967	3
200	2
32969	1
202	2
32971	4
32972	3
32973	4
206	4
32975	3
32977	1
211	4
32981	1
32982	3
32987	3
32988	3
221	4
32990	1
224	1
32993	3
32994	2
227	1
32996	3
229	1
231	4
234	1
236	1
238	1
33008	1
33009	2
33011	1
33012	2
246	1
247	2
33016	2
33017	3
250	2
33019	2
33020	2
33021	2
33022	4
33023	1
256	1
33025	1
33026	3
33027	2
33028	1
33029	1
33030	3
33033	2
33035	1
268	3
33038	4
271	4
272	3
33041	1
274	4
275	3
33046	1
33047	1
33048	3
33049	1
33050	2
33051	4
33052	1
33053	1
33055	3
33056	3
289	4
290	2
33059	2
33061	4
33062	2
33063	3
33064	2
33065	1
33066	2
33067	3
33068	1
33069	1
33070	4
33071	4
304	4
33073	1
33074	5
307	4
308	1
33077	1
33078	2
33079	2
33080	1
33081	2
314	3
33083	1
316	1
33085	2
33086	2
33087	2
33088	1
322	2
33092	1
33094	3
33095	2
33096	1
33097	3
33098	3
33099	1
33100	2
33102	2
335	2
33104	4
33106	2
33107	3
33108	2
33109	1
33110	3
343	6
344	3
347	1
349	1
351	3
356	3
363	3
366	3
370	3
33142	2
33145	2
378	3
33147	2
33149	2
33150	2
33151	2
33152	2
33153	2
33154	2
33161	1
394	7
395	3
396	3
397	3
398	5
33167	2
400	3
33171	3
33173	1
406	2
33176	2
33178	3
33179	3
413	2
33182	2
33183	2
417	5
33187	3
33188	1
33189	1
422	4
33191	5
33194	1
33195	1
33196	3
429	1
33198	1
33201	1
434	2
33204	2
33205	3
438	5
33209	3
33210	3
33211	1
33212	4
33214	1
33215	1
33216	2
33217	4
450	3
453	4
455	3
456	4
33225	4
33227	1
33229	1
33230	2
33231	2
33232	3
465	4
33235	2
33236	1
33237	1
33238	1
33240	1
473	4
33242	2
475	1
476	2
33245	2
33246	4
480	1
33249	1
482	3
33251	1
33257	6
490	2
491	1
492	4
33261	1
33262	2
33263	2
33264	3
33265	3
33266	3
501	2
33270	1
503	3
33272	1
505	3
